JUDOCA;IND_SUSTENTACAO;TAM_MIN_PADRAO;ITENS_OBRIGATORIOS;NUM_PADROES;TEMPO_ALGORITMO (s);TEMPO_TRADUCAO (s);ARQUIVO
BOZBAYEV;0,5;4;;781502;2,391;4,344;Traducao_BOZBAYEV_0.5_4.CSV
BOZBAYEV;1,0;;2722;0;0,049;0,0;Traducao_BOZBAYEV_1.0_2722.CSV
BOZBAYEV;0,9;;2722;0;0,0;0,016;Traducao_BOZBAYEV_0.9_2722.CSV
BOZBAYEV;0,8;;2722;0;0,0;0,0;Traducao_BOZBAYEV_0.8_2722.CSV
BOZBAYEV;0,7;;2722;0;0,0;0,0;Traducao_BOZBAYEV_0.7_2722.CSV
BOZBAYEV;0,6;;2722;0;0,015;0,0;Traducao_BOZBAYEV_0.6_2722.CSV
BOZBAYEV;0,5;;2722;0;0,0;0,0;Traducao_BOZBAYEV_0.5_2722.CSV
BOZBAYEV;0,4;;2722;0;0,0;0,0;Traducao_BOZBAYEV_0.4_2722.CSV
BOZBAYEV;0,3;;2722;0;0,0;0,016;Traducao_BOZBAYEV_0.3_2722.CSV
NAKAI;1,0;;;40125;0,125;0,203;Traducao_NAKAI_1.0.CSV
NAKAI;0,9;;;40125;0,203;0,187;Traducao_NAKAI_0.9.CSV
NAKAI;0,8;;;40125;0,251;0,328;Traducao_NAKAI_0.8.CSV
NAKAI;1,0;4;;39770;0,391;0,25;Traducao_NAKAI_1.0_4.CSV
NAKAI;0,9;4;;39770;0,096;0,172;Traducao_NAKAI_0.9_4.CSV
NAKAI;0,8;4;;39770;0,156;0,172;Traducao_NAKAI_0.8_4.CSV
NAKAI;1,0;;2722;0;0,0;0,0;Traducao_NAKAI_1.0_2722.CSV
NAKAI;0,9;;2722;0;0,031;0,0;Traducao_NAKAI_0.9_2722.CSV
NAKAI;0,8;;2722;0;0,016;0,0;Traducao_NAKAI_0.8_2722.CSV
MARIJANOVIC;1,0;;;46857;0,109;0,188;Traducao_MARIJANOVIC_1.0.CSV
MARIJANOVIC;0,9;;;46857;0,095;0,157;Traducao_MARIJANOVIC_0.9.CSV
MARIJANOVIC;0,8;;;46857;0,078;0,25;Traducao_MARIJANOVIC_0.8.CSV
MARIJANOVIC;0,7;;;46857;0,282;0,297;Traducao_MARIJANOVIC_0.7.CSV
MARIJANOVIC;1,0;4;;46227;0,236;0,266;Traducao_MARIJANOVIC_1.0_4.CSV
MARIJANOVIC;0,9;4;;46227;0,109;0,204;Traducao_MARIJANOVIC_0.9_4.CSV
MARIJANOVIC;0,8;4;;46227;0,14;0,203;Traducao_MARIJANOVIC_0.8_4.CSV
MARIJANOVIC;0,7;4;;46227;0,096;0,171;Traducao_MARIJANOVIC_0.7_4.CSV
MARIJANOVIC;1,0;;2722;0;0,0;0,0;Traducao_MARIJANOVIC_1.0_2722.CSV
MARIJANOVIC;0,9;;2722;0;0,0;0,0;Traducao_MARIJANOVIC_0.9_2722.CSV
MARIJANOVIC;0,8;;2722;0;0,0;0,016;Traducao_MARIJANOVIC_0.8_2722.CSV
MARIJANOVIC;0,7;;2722;0;0,0;0,0;Traducao_MARIJANOVIC_0.7_2722.CSV
