id_luta;sequencia;momento;id_quem_faz;id_quem_recebe;id_acao;id_tecnica;id_direcao;id_pontuacao;id_motivo_penalizacao
6;6;0001-01-01 00:00:39.225-03:12:48 BC;2;41;18;;;;
6;7;0001-01-01 00:00:40.419-03:12:48 BC;2;41;46;;;;
6;8;0001-01-01 00:00:43.292-03:12:48 BC;1;;24;;;;
6;9;0001-01-01 00:00:50.392-03:12:48 BC;2;41;32;;;;
6;10;0001-01-01 00:00:53.339-03:12:48 BC;2;41;2;;;;
6;11;0001-01-01 00:00:55.625-03:12:48 BC;2;41;4;;;;
6;12;0001-01-01 00:01:40.303-03:12:48 BC;2;41;16;;;;
6;13;0001-01-01 00:01:48.908-03:12:48 BC;2;41;45;;;;
6;14;0001-01-01 00:02:18.618-03:12:48 BC;1;;24;;;;
6;15;0001-01-01 00:02:30.458-03:12:48 BC;2;41;32;;;;
6;16;0001-01-01 00:02:33.152-03:12:48 BC;2;41;2;;;;
6;17;0001-01-01 00:02:36.215-03:12:48 BC;2;41;4;;;;
6;18;0001-01-01 00:02:38.853-03:12:48 BC;2;41;12;;;;
6;19;0001-01-01 00:03:20.998-03:12:48 BC;2;41;17;58;6;;
6;20;0001-01-01 00:03:21.925-03:12:48 BC;2;41;12;;;;
6;21;0001-01-01 00:03:24.271-03:12:48 BC;1;;24;;;;
6;22;0001-01-01 00:03:33.265-03:12:48 BC;2;41;2;;;;
6;23;0001-01-01 00:03:35.135-03:12:48 BC;2;41;9;;;;
6;24;0001-01-01 00:03:41.171-03:12:48 BC;2;41;36;40;;;
6;25;0001-01-01 00:03:41.171-03:12:48 BC;2;41;9;;;;
6;26;0001-01-01 00:03:45.723-03:12:48 BC;2;41;17;40;2;;
6;27;0001-01-01 00:03:46.243-03:12:48 BC;2;41;55;;;;
6;28;0001-01-01 00:03:47.739-03:12:48 BC;2;41;12;;;;
6;29;0001-01-01 00:03:50.535-03:12:48 BC;2;41;17;63;2;;
6;30;0001-01-01 00:03:51.511-03:12:48 BC;1;;40;;;;
6;31;0001-01-01 00:05:43.756-03:12:48 BC;2;41;2;;;;
6;32;0001-01-01 00:05:44.95-03:12:48 BC;2;41;4;;;;
6;33;0001-01-01 00:05:54.555-03:12:48 BC;2;41;12;;;;
6;34;0001-01-01 00:06:43.053-03:12:48 BC;2;41;55;;;;
6;35;0001-01-01 00:06:44.274-03:12:48 BC;2;41;18;;;;
6;36;0001-01-01 00:06:44.959-03:12:48 BC;1;;24;;;;
